date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:53	25344/25344	---M--	200	added ('OK')	font/woff2	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/MullerBold.woff2	D:/@WEB/!!technix/technix/www.technex.in/static/index19/MullerBold.woff2	(from https://www.technex.in/static/index19/style/style219.css)
14:49:53	33612/33612	---MCZ	200	added ('OK')	application/font-woff	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/MullerBold.woff	D:/@WEB/!!technix/technix/www.technex.in/static/index19/MullerBold.woff	(from https://www.technex.in/static/index19/style/style219.css)
14:49:54	838/838	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:52%20GMT	https://www.technex.in/static/index19/OsnovaPro-Regular.woff2	D:/@WEB/!!technix/technix/www.technex.in/static/index19/OsnovaPro-Regular.html	(from https://www.technex.in/static/index19/style/style219.css)
14:49:55	838/838	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:53%20GMT	https://www.technex.in/static/index19/OsnovaPro-Regular.woff	D:/@WEB/!!technix/technix/www.technex.in/static/index19/OsnovaPro-Regular-2.html	(from https://www.technex.in/static/index19/style/style219.css)
14:49:56	33267/33267	---M--	200	added ('OK')	image/png	etag:%22621670ef1d5d252b1a1f5e928cd71137%22	https://d1mteuyxkcon0n.cloudfront.net/index19/images19/lines.png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/images19/lines.png	(from https://www.technex.in/static/index19/style/style219.css)
14:49:56	838/838	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:54%20GMT	https://www.technex.in/local/templates/neurohive/assets/img/2arrow.png	D:/@WEB/!!technix/technix/www.technex.in/local/templates/neurohive/assets/img/2arrow.html	(from https://www.technex.in/static/index19/style/style219.css)
14:49:57	838/838	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:55%20GMT	https://www.technex.in/local/templates/neurohive/assets/img/svg/checkbox.svg	D:/@WEB/!!technix/technix/www.technex.in/local/templates/neurohive/assets/img/svg/checkbox.html	(from https://www.technex.in/static/index19/style/style219.css)
14:49:58	838/838	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:55%20GMT	https://www.technex.in/events/favicon.ico	D:/@WEB/!!technix/technix/www.technex.in/events/favicon.html	(from https://www.technex.in/events/)
14:49:59	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	D:/@WEB/!!technix/technix/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.technex.in/events/)
14:49:59	13504/13504	---M--	200	added ('OK')	image/png	etag:%22d9d009bdcf573c7735ea60a32f78549d%22	https://d1mteuyxkcon0n.cloudfront.net/favicon/android-chrome-192x192.png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/favicon/android-chrome-192x192.png	(from https://www.technex.in/events/)
14:50:01	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	D:/@WEB/!!technix/technix/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.technex.in/events/)
14:50:03	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	D:/@WEB/!!technix/technix/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://www.technex.in/events/)
14:50:07	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/@WEB/!!technix/technix/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.technex.in/events/)
14:50:07	526/526	---M--	200	added ('OK')	text/css	etag:%22eb48605ee612ee03ce7437f90dd8f9b4%22	https://d1mteuyxkcon0n.cloudfront.net/css/pspage.css	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/css/pspage.css	(from https://www.technex.in/events/)
14:50:09	18056/18056	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2012:08:08%20GMT	https://www.technex.in/static/css/base.css	D:/@WEB/!!technix/technix/www.technex.in/static/css/base.css	(from https://www.technex.in/events/)
14:50:19	33466/33466	---M--	200	added ('OK')	image/jpeg	etag:%22e22c7832dfdbbfde85a4709eb12f5b4c%22	https://d1mteuyxkcon0n.cloudfront.net/Red-tech-background-vectors.jpg	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/Red-tech-background-vectors.jpg	(from https://www.technex.in/events/)
14:50:19	256664/256664	---M--	200	added ('OK')	image/jpeg	etag:%223661a8119ab38b7d12c6018c91d8c83e%22	https://d1mteuyxkcon0n.cloudfront.net/assets/images/1.jpg	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/assets/images/1.jpg	(from https://www.technex.in/events/)
14:50:24	86613/86613	---M--	200	added ('OK')	image/jpeg	etag:%227680a4901167eb4bd7047b524adabdc7%22	https://d1mteuyxkcon0n.cloudfront.net/eventps.jpeg	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/eventps.jpg	(from https://www.technex.in/events/)
14:50:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:20:24%20GMT	https://www.technex.in/dashboard?event=daeroglisseur	D:/@WEB/!!technix/technix/www.technex.in/dashboard.46df48.delayed	(from https://www.technex.in/events/)
14:50:29	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2023%20Feb%202019%2009:20:26%20GMT	https://www.technex.in/dashboard/?event=daeroglisseur	D:/@WEB/!!technix/technix/www.technex.in/dashboard/indexdf48.html	(from https://www.technex.in/events/)
14:50:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:20:29%20GMT	https://www.technex.in/dashboard?event=drone-tech	D:/@WEB/!!technix/technix/www.technex.in/dashboard.47d2c8.delayed	(from https://www.technex.in/events/)
14:50:34	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2023%20Feb%202019%2009:20:31%20GMT	https://www.technex.in/dashboard/?event=drone-tech	D:/@WEB/!!technix/technix/www.technex.in/dashboard/indexd2c8.html	(from https://www.technex.in/events/)
14:50:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:20:31%20GMT	https://www.technex.in/dashboard?event=la-trajectoire	D:/@WEB/!!technix/technix/www.technex.in/dashboardba32	(from https://www.technex.in/events/)
14:50:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:20:33%20GMT	https://www.technex.in/dashboard?event=momentum	D:/@WEB/!!technix/technix/www.technex.in/dashboard6053	(from https://www.technex.in/events/)
14:50:36	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2023%20Feb%202019%2009:20:33%20GMT	https://www.technex.in/dashboard/?event=la-trajectoire	D:/@WEB/!!technix/technix/www.technex.in/dashboard/indexba32.html	(from https://www.technex.in/events/)
14:50:37	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2023%20Feb%202019%2009:20:34%20GMT	https://www.technex.in/dashboard/?event=momentum	D:/@WEB/!!technix/technix/www.technex.in/dashboard/index6053.html	(from https://www.technex.in/events/)
14:50:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:20:36%20GMT	https://www.technex.in/dashboard?event=capturetheflag	D:/@WEB/!!technix/technix/www.technex.in/dashboard.4a3aa3.delayed	(from https://www.technex.in/events/)
14:50:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:20:36%20GMT	https://www.technex.in/dashboard?event=hackathon	D:/@WEB/!!technix/technix/www.technex.in/dashboard1ab2	(from https://www.technex.in/events/)
14:50:39	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2023%20Feb%202019%2009:20:37%20GMT	https://www.technex.in/dashboard/?event=capturetheflag	D:/@WEB/!!technix/technix/www.technex.in/dashboard/index3aa3.html	(from https://www.technex.in/events/)
14:50:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:20:37%20GMT	https://www.technex.in/dashboard?event=international-coding-marathon	D:/@WEB/!!technix/technix/www.technex.in/dashboard8070	(from https://www.technex.in/events/)
14:50:39	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2023%20Feb%202019%2009:20:37%20GMT	https://www.technex.in/dashboard/?event=hackathon	D:/@WEB/!!technix/technix/www.technex.in/dashboard/index1ab2.html	(from https://www.technex.in/events/)
